🏻 => 🏻, faʻahinga 1–2, hinehina, kili
🏼 => 🏼, faʻahinga 3, kelokelo, kili
🏽 => 🏽, faʻahinga 4, kili, melomelo
🏾 => 🏾, faʻahinga 5, ʻuliʻuli, kili, kili melomelo-ʻuliʻuli, melomelo
🏿 => 🏿, faʻahinga 6, ʻuliʻuli, kili
♪ => ♪, nota vaevalu, tuʻungafasi
♭ => ♭, falati, tuʻungafasi
♯ => ♯, saapa, tuʻungafasi
😀 => 😀, mata fiefia
🧑🏾‍🦼 => 🧑🏾‍🦼, kili melomelo-ʻuliʻuli, sāliote falemahaki mīsini, tokotaha ʻihe sāliote falemahaki mīsini
🧑🏿‍🦼 => 🧑🏿‍🦼, kili ʻuliʻuli, sāliote falemahaki mīsini, tokotaha ʻihe sāliote falemahaki mīsini
👨🏻‍🦼 => 👨🏻‍🦼, falemahaki, kili hinehina, mīsini, sāliote, tangata, tangata ʻihe sāliote falemahaki mīsini
👨🏼‍🦼 => 👨🏼‍🦼, falemahaki, kili kelokelo, mīsini, sāliote, tangata, tangata ʻihe sāliote falemahaki mīsini
👨🏽‍🦼 => 👨🏽‍🦼, falemahaki, kili melomelo, mīsini, sāliote, tangata, tangata ʻihe sāliote falemahaki mīsini
👨🏾‍🦼 => 👨🏾‍🦼, falemahaki, kili melomelo-ʻuliʻuli, mīsini, sāliote, tangata, tangata ʻihe sāliote falemahaki mīsini
👨🏿‍🦼 => 👨🏿‍🦼, falemahaki, kili ʻuliʻuli, mīsini, sāliote, tangata, tangata ʻihe sāliote falemahaki mīsini
👩🏻‍🦼 => 👩🏻‍🦼, falemahaki, fefine, fefine ʻihe sāliote falemahaki mīsini, kili hinehina, mīsini, sāliote
👩🏼‍🦼 => 👩🏼‍🦼, falemahaki, fefine, fefine ʻihe sāliote falemahaki mīsini, kili kelokelo, mīsini, sāliote
👩🏽‍🦼 => 👩🏽‍🦼, falemahaki, fefine, fefine ʻihe sāliote falemahaki mīsini, kili melomelo, mīsini, sāliote
👩🏾‍🦼 => 👩🏾‍🦼, falemahaki, fefine, fefine ʻihe sāliote falemahaki mīsini, kili melomelo-ʻuliʻuli, mīsini, sāliote
👩🏿‍🦼 => 👩🏿‍🦼, falemahaki, fefine, fefine ʻihe sāliote falemahaki mīsini, kili ʻuliʻuli, mīsini, sāliote
🧑🏻‍🦽 => 🧑🏻‍🦽, falemahaki, kili hinehina, sāliote, tokotaha ʻihe sāliote falemahaki
🧑🏼‍🦽 => 🧑🏼‍🦽, falemahaki, kili kelokelo, sāliote, tokotaha ʻihe sāliote falemahaki
🧑🏽‍🦽 => 🧑🏽‍🦽, falemahaki, kili melomelo, sāliote, tokotaha ʻihe sāliote falemahaki
🧑🏾‍🦽 => 🧑🏾‍🦽, falemahaki, kili melomelo-ʻuliʻuli, sāliote, tokotaha ʻihe sāliote falemahaki
🧑🏿‍🦽 => 🧑🏿‍🦽, falemahaki, kili ʻuliʻuli, sāliote, tokotaha ʻihe sāliote falemahaki
👨🏻‍🦽 => 👨🏻‍🦽, falemahaki, kili hinehina, sāliote, tangata, tangata ʻihe sāliote falemahaki
👨🏼‍🦽 => 👨🏼‍🦽, falemahaki, kili kelokelo, sāliote, tangata, tangata ʻihe sāliote falemahaki
👨🏽‍🦽 => 👨🏽‍🦽, falemahaki, kili melomelo, sāliote, tangata, tangata ʻihe sāliote falemahaki
👨🏾‍🦽 => 👨🏾‍🦽, falemahaki, kili melomelo-ʻuliʻuli, sāliote, tangata, tangata ʻihe sāliote falemahaki
👨🏿‍🦽 => 👨🏿‍🦽, falemahaki, kili ʻuliʻuli, sāliote, tangata, tangata ʻihe sāliote falemahaki
👩🏻‍🦽 => 👩🏻‍🦽, falemahaki, fefine, fefine ʻihe sāliote falemahaki, kili hinehina, sāliote
👩🏼‍🦽 => 👩🏼‍🦽, falemahaki, fefine, fefine ʻihe sāliote falemahaki, kili kelokelo, sāliote
👩🏽‍🦽 => 👩🏽‍🦽, falemahaki, fefine, fefine ʻihe sāliote falemahaki, kili melomelo, sāliote
👩🏾‍🦽 => 👩🏾‍🦽, falemahaki, fefine, fefine ʻihe sāliote falemahaki, kili melomelo-ʻuliʻuli, sāliote
👩🏿‍🦽 => 👩🏿‍🦽, falemahaki, fefine, fefine ʻihe sāliote falemahaki, kili ʻuliʻuli, sāliote
🏃🏻 => 🏃🏻, kili hinehina, tokotaha lele
🏃🏼 => 🏃🏼, kili kelokelo, tokotaha lele
🏃🏽 => 🏃🏽, kili melomelo, tokotaha lele
🏃🏾 => 🏃🏾, kili melomelo-ʻuliʻuli, tokotaha lele
🏃🏿 => 🏃🏿, kili ʻuliʻuli, tokotaha lele
🏃🏻‍♂ => 🏃🏻‍♂, kili hinehina, tangata lele
🏃🏼‍♂ => 🏃🏼‍♂, kili kelokelo, tangata lele
🏃🏽‍♂ => 🏃🏽‍♂, kili melomelo, tangata lele
🏃🏾‍♂ => 🏃🏾‍♂, kili melomelo-ʻuliʻuli, tangata lele
🏃🏿‍♂ => 🏃🏿‍♂, kili ʻuliʻuli, tangata lele
🏃🏻‍♀ => 🏃🏻‍♀, fefine lele, kili hinehina
🏃🏼‍♀ => 🏃🏼‍♀, fefine lele, kili kelokelo
🏃🏽‍♀ => 🏃🏽‍♀, fefine lele, kili melomelo
🏃🏾‍♀ => 🏃🏾‍♀, fefine lele, kili melomelo-ʻuliʻuli
🏃🏿‍♀ => 🏃🏿‍♀, fefine lele, kili ʻuliʻuli
💃🏻 => 💃🏻, fefine meʻe, kili hinehina
💃🏼 => 💃🏼, fefine meʻe, kili kelokelo
💃🏽 => 💃🏽, fefine meʻe, kili melomelo
💃🏾 => 💃🏾, fefine meʻe, kili melomelo-ʻuliʻuli
💃🏿 => 💃🏿, fefine meʻe, kili ʻuliʻuli
🕺🏻 => 🕺🏻, kili hinehina, tangata meʻe
🕺🏼 => 🕺🏼, kili kelokelo, tangata meʻe
🕺🏽 => 🕺🏽, kili melomelo, tangata meʻe
🕺🏾 => 🕺🏾, kili melomelo-ʻuliʻuli, tangata meʻe
🕺🏿 => 🕺🏿, kili ʻuliʻuli, tangata meʻe
🕴🏻 => 🕴🏻, kili hinehina, tangata ʻi vala tangata kakato ʻoku maʻanu
🕴🏼 => 🕴🏼, kili kelokelo, tangata ʻi vala tangata kakato ʻoku maʻanu
🕴🏽 => 🕴🏽, kili melomelo, tangata ʻi vala tangata kakato ʻoku maʻanu
🕴🏾 => 🕴🏾, kili melomelo-ʻuliʻuli, tangata ʻi vala tangata kakato ʻoku maʻanu
🕴🏿 => 🕴🏿, kili ʻuliʻuli, tangata ʻi vala tangata kakato ʻoku maʻanu
🧖🏻 => 🧖🏻, kili hinehina, tokotaha ʻi loki mao
🧖🏼 => 🧖🏼, kili kelokelo, tokotaha ʻi loki mao
🧖🏽 => 🧖🏽, kili melomelo, tokotaha ʻi loki mao
🧖🏾 => 🧖🏾, kili melomelo-ʻuliʻuli, tokotaha ʻi loki mao
🧖🏿 => 🧖🏿, kili ʻuliʻuli, tokotaha ʻi loki mao
🧖🏻‍♂ => 🧖🏻‍♂, kili hinehina, tangata ʻi loki mao
🧖🏼‍♂ => 🧖🏼‍♂, kili kelokelo, tangata ʻi loki mao
🧖🏽‍♂ => 🧖🏽‍♂, kili melomelo, tangata ʻi loki mao
🧖🏾‍♂ => 🧖🏾‍♂, kili melomelo-ʻuliʻuli, tangata ʻi loki mao
🧖🏿‍♂ => 🧖🏿‍♂, kili ʻuliʻuli, tangata ʻi loki mao
🧖🏻‍♀ => 🧖🏻‍♀, fefine ʻi loki mao, kili hinehina
🧖🏼‍♀ => 🧖🏼‍♀, fefine ʻi loki mao, kili kelokelo
🧖🏽‍♀ => 🧖🏽‍♀, fefine ʻi loki mao, kili melomelo
🧖🏾‍♀ => 🧖🏾‍♀, fefine ʻi loki mao, kili melomelo-ʻuliʻuli
🧖🏿‍♀ => 🧖🏿‍♀, fefine ʻi loki mao, kili ʻuliʻuli
🧗🏻 => 🧗🏻, kili hinehina, tokotaha kaka
🧗🏼 => 🧗🏼, kili kelokelo, tokotaha kaka
🧗🏽 => 🧗🏽, kili melomelo, tokotaha kaka
🧗🏾 => 🧗🏾, kili melomelo-ʻuliʻuli, tokotaha kaka
🧗🏿 => 🧗🏿, kili ʻuliʻuli, tokotaha kaka
🧗🏻‍♂ => 🧗🏻‍♂, kili hinehina, tangata kaka
🧗🏼‍♂ => 🧗🏼‍♂, kili kelokelo, tangata kaka
🧗🏽‍♂ => 🧗🏽‍♂, kili melomelo, tangata kaka
🧗🏾‍♂ => 🧗🏾‍♂, kili melomelo-ʻuliʻuli, tangata kaka
🧗🏿‍♂ => 🧗🏿‍♂, kili ʻuliʻuli, tangata kaka
🧗🏻‍♀ => 🧗🏻‍♀, fefine kaka, kili hinehina
🧗🏼‍♀ => 🧗🏼‍♀, fefine kaka, kili kelokelo
🧗🏽‍♀ => 🧗🏽‍♀, fefine kaka, kili melomelo
🧗🏾‍♀ => 🧗🏾‍♀, fefine kaka, kili melomelo-ʻuliʻuli
🧗🏿‍♀ => 🧗🏿‍♀, fefine kaka, kili ʻuliʻuli
🏇🏻 => 🏇🏻, kili hinehina, lova hoosi
🏇🏼 => 🏇🏼, kili kelokelo, lova hoosi
🏇🏽 => 🏇🏽, kili melomelo, lova hoosi
🏇🏾 => 🏇🏾, kili melomelo-ʻuliʻuli, lova hoosi
🏇🏿 => 🏇🏿, kili ʻuliʻuli, lova hoosi
🏂🏻 => 🏂🏻, kili hinehina, tokotaha heke laupapa sinou
🏂🏼 => 🏂🏼, kili kelokelo, tokotaha heke laupapa sinou
🏂🏽 => 🏂🏽, kili melomelo, tokotaha heke laupapa sinou
🏂🏾 => 🏂🏾, kili melomelo-ʻuliʻuli, tokotaha heke laupapa sinou
🏂🏿 => 🏂🏿, kili ʻuliʻuli, tokotaha heke laupapa sinou
🏌🏻 => 🏌🏻, kili hinehina, tokotaha tāpulu
🏌🏼 => 🏌🏼, kili kelokelo, tokotaha tāpulu
🏌🏽 => 🏌🏽, kili melomelo, tokotaha tāpulu
🏌🏾 => 🏌🏾, kili melomelo-ʻuliʻuli, tokotaha tāpulu
🏌🏿 => 🏌🏿, kili ʻuliʻuli, tokotaha tāpulu
🏌🏻‍♂ => 🏌🏻‍♂, kili hinehina, tangata tāpulu
🏌🏼‍♂ => 🏌🏼‍♂, kili kelokelo, tangata tāpulu
🏌🏽‍♂ => 🏌🏽‍♂, kili melomelo, tangata tāpulu
🏌🏾‍♂ => 🏌🏾‍♂, kili melomelo-ʻuliʻuli, tangata tāpulu
🏌🏿‍♂ => 🏌🏿‍♂, kili ʻuliʻuli, tangata tāpulu
🏌🏻‍♀ => 🏌🏻‍♀, fefine tāpulu, kili hinehina
🏌🏼‍♀ => 🏌🏼‍♀, fefine tāpulu, kili kelokelo
🏌🏽‍♀ => 🏌🏽‍♀, fefine tāpulu, kili melomelo
🏌🏾‍♀ => 🏌🏾‍♀, fefine tāpulu, kili melomelo-ʻuliʻuli
🏌🏿‍♀ => 🏌🏿‍♀, fefine tāpulu, kili ʻuliʻuli
🏄🏻 => 🏄🏻, kili hinehina, tokotaha fānifo
🏄🏼 => 🏄🏼, kili kelokelo, tokotaha fānifo
🏄🏽 => 🏄🏽, kili melomelo, tokotaha fānifo
🏄🏾 => 🏄🏾, kili melomelo-ʻuliʻuli, tokotaha fānifo
🏄🏿 => 🏄🏿, kili ʻuliʻuli, tokotaha fānifo
🏄🏻‍♂ => 🏄🏻‍♂, kili hinehina, tangata fānifo
🏄🏼‍♂ => 🏄🏼‍♂, kili kelokelo, tangata fānifo
🏄🏽‍♂ => 🏄🏽‍♂, kili melomelo, tangata fānifo
🏄🏾‍♂ => 🏄🏾‍♂, kili melomelo-ʻuliʻuli, tangata fānifo
🏄🏿‍♂ => 🏄🏿‍♂, kili ʻuliʻuli, tangata fānifo
🏄🏻‍♀ => 🏄🏻‍♀, fefine fānifo, kili hinehina
🏄🏼‍♀ => 🏄🏼‍♀, fefine fānifo, kili kelokelo
🏄🏽‍♀ => 🏄🏽‍♀, fefine fānifo, kili melomelo
🏄🏾‍♀ => 🏄🏾‍♀, fefine fānifo, kili melomelo-ʻuliʻuli
🏄🏿‍♀ => 🏄🏿‍♀, fefine fānifo, kili ʻuliʻuli
🚣🏻 => 🚣🏻, kili hinehina, tokotaha ʻaʻalo
🚣🏼 => 🚣🏼, kili kelokelo, tokotaha ʻaʻalo
🚣🏽 => 🚣🏽, kili melomelo, tokotaha ʻaʻalo
🚣🏾 => 🚣🏾, kili melomelo-ʻuliʻuli, tokotaha ʻaʻalo
🚣🏿 => 🚣🏿, kili ʻuliʻuli, tokotaha ʻaʻalo
🚣🏻‍♂ => 🚣🏻‍♂, kili hinehina, tangata ʻaʻalo
🚣🏼‍♂ => 🚣🏼‍♂, kili kelokelo, tangata ʻaʻalo
🚣🏽‍♂ => 🚣🏽‍♂, kili melomelo, tangata ʻaʻalo
🚣🏾‍♂ => 🚣🏾‍♂, kili melomelo-ʻuliʻuli, tangata ʻaʻalo
🚣🏿‍♂ => 🚣🏿‍♂, kili ʻuliʻuli, tangata ʻaʻalo
🚣🏻‍♀ => 🚣🏻‍♀, fefine ʻaʻalo, kili hinehina
🚣🏼‍♀ => 🚣🏼‍♀, fefine ʻaʻalo, kili kelokelo
🚣🏽‍♀ => 🚣🏽‍♀, fefine ʻaʻalo, kili melomelo
🚣🏾‍♀ => 🚣🏾‍♀, fefine ʻaʻalo, kili melomelo-ʻuliʻuli
🚣🏿‍♀ => 🚣🏿‍♀, fefine ʻaʻalo, kili ʻuliʻuli
🏊🏻 => 🏊🏻, kili hinehina, tokotaha kakau
🏊🏼 => 🏊🏼, kili kelokelo, tokotaha kakau
🏊🏽 => 🏊🏽, kili melomelo, tokotaha kakau
🏊🏾 => 🏊🏾, kili melomelo-ʻuliʻuli, tokotaha kakau
🏊🏿 => 🏊🏿, kili ʻuliʻuli, tokotaha kakau
🏊🏻‍♂ => 🏊🏻‍♂, kili hinehina, tangata kakau
🏊🏼‍♂ => 🏊🏼‍♂, kili kelokelo, tangata kakau
🏊🏽‍♂ => 🏊🏽‍♂, kili melomelo, tangata kakau
🏊🏾‍♂ => 🏊🏾‍♂, kili melomelo-ʻuliʻuli, tangata kakau
🏊🏿‍♂ => 🏊🏿‍♂, kili ʻuliʻuli, tangata kakau
🏊🏻‍♀ => 🏊🏻‍♀, fefine kakau, kili hinehina
🏊🏼‍♀ => 🏊🏼‍♀, fefine kakau, kili kelokelo
🏊🏽‍♀ => 🏊🏽‍♀, fefine kakau, kili melomelo
🏊🏾‍♀ => 🏊🏾‍♀, fefine kakau, kili melomelo-ʻuliʻuli
🏊🏿‍♀ => 🏊🏿‍♀, fefine kakau, kili ʻuliʻuli
⛹🏻 => ⛹🏻, kili hinehina, tokotaha tōpuna pulu
⛹🏼 => ⛹🏼, kili kelokelo, tokotaha tōpuna pulu
⛹🏽 => ⛹🏽, kili melomelo, tokotaha tōpuna pulu
⛹🏾 => ⛹🏾, kili melomelo-ʻuliʻuli, tokotaha tōpuna pulu
⛹🏿 => ⛹🏿, kili ʻuliʻuli, tokotaha tōpuna pulu
⛹🏻‍♂ => ⛹🏻‍♂, kili hinehina, tangata tōpuna pulu
⛹🏼‍♂ => ⛹🏼‍♂, kili kelokelo, tangata tōpuna pulu
⛹🏽‍♂ => ⛹🏽‍♂, kili melomelo, tangata tōpuna pulu
⛹🏾‍♂ => ⛹🏾‍♂, kili melomelo-ʻuliʻuli, tangata tōpuna pulu
⛹🏿‍♂ => ⛹🏿‍♂, kili ʻuliʻuli, tangata tōpuna pulu
⛹🏻‍♀ => ⛹🏻‍♀, fefine tōpuna pulu, kili hinehina
⛹🏼‍♀ => ⛹🏼‍♀, fefine tōpuna pulu, kili kelokelo
⛹🏽‍♀ => ⛹🏽‍♀, fefine tōpuna pulu, kili melomelo
⛹🏾‍♀ => ⛹🏾‍♀, fefine tōpuna pulu, kili melomelo-ʻuliʻuli
⛹🏿‍♀ => ⛹🏿‍♀, fefine tōpuna pulu, kili ʻuliʻuli
🏋🏻 => 🏋🏻, kili hinehina, tokotaha hiki meʻamamafa
🏋🏼 => 🏋🏼, kili kelokelo, tokotaha hiki meʻamamafa
🏋🏽 => 🏋🏽, kili melomelo, tokotaha hiki meʻamamafa
🏋🏾 => 🏋🏾, kili melomelo-ʻuliʻuli, tokotaha hiki meʻamamafa
🏋🏿 => 🏋🏿, kili ʻuliʻuli, tokotaha hiki meʻamamafa
🏋🏻‍♂ => 🏋🏻‍♂, kili hinehina, tangata hiki meʻamamafa
🏋🏼‍♂ => 🏋🏼‍♂, kili kelokelo, tangata hiki meʻamamafa
🏋🏽‍♂ => 🏋🏽‍♂, kili melomelo, tangata hiki meʻamamafa
🏋🏾‍♂ => 🏋🏾‍♂, kili melomelo-ʻuliʻuli, tangata hiki meʻamamafa
🏋🏿‍♂ => 🏋🏿‍♂, kili ʻuliʻuli, tangata hiki meʻamamafa
🏋🏻‍♀ => 🏋🏻‍♀, fefine hiki meʻamamafa, kili hinehina
🏋🏼‍♀ => 🏋🏼‍♀, fefine hiki meʻamamafa, kili kelokelo
🏋🏽‍♀ => 🏋🏽‍♀, fefine hiki meʻamamafa, kili melomelo
🏋🏾‍♀ => 🏋🏾‍♀, fefine hiki meʻamamafa, kili melomelo-ʻuliʻuli
🏋🏿‍♀ => 🏋🏿‍♀, fefine hiki meʻamamafa, kili ʻuliʻuli
🚴🏻 => 🚴🏻, kili hinehina, tokotaha heka pasikala
🚴🏼 => 🚴🏼, kili kelokelo, tokotaha heka pasikala
🚴🏽 => 🚴🏽, kili melomelo, tokotaha heka pasikala
🚴🏾 => 🚴🏾, kili melomelo-ʻuliʻuli, tokotaha heka pasikala
🚴🏿 => 🚴🏿, kili ʻuliʻuli, tokotaha heka pasikala
🚴🏻‍♂ => 🚴🏻‍♂, kili hinehina, tangata heka pasikala
🚴🏼‍♂ => 🚴🏼‍♂, kili kelokelo, tangata heka pasikala
🚴🏽‍♂ => 🚴🏽‍♂, kili melomelo, tangata heka pasikala
🚴🏾‍♂ => 🚴🏾‍♂, kili melomelo-ʻuliʻuli, tangata heka pasikala
🚴🏿‍♂ => 🚴🏿‍♂, kili ʻuliʻuli, tangata heka pasikala
🚴🏻‍♀ => 🚴🏻‍♀, fefine heka pasikala, kili hinehina
🚴🏼‍♀ => 🚴🏼‍♀, fefine heka pasikala, kili kelokelo
🚴🏽‍♀ => 🚴🏽‍♀, fefine heka pasikala, kili melomelo
🚴🏾‍♀ => 🚴🏾‍♀, fefine heka pasikala, kili melomelo-ʻuliʻuli
🚴🏿‍♀ => 🚴🏿‍♀, fefine heka pasikala, kili ʻuliʻuli
🚵🏻 => 🚵🏻, kili hinehina, tokotaha heka pasikala moʻunga
🚵🏼 => 🚵🏼, kili kelokelo, tokotaha heka pasikala moʻunga
🚵🏽 => 🚵🏽, kili melomelo, tokotaha heka pasikala moʻunga
🚵🏾 => 🚵🏾, kili melomelo-ʻuliʻuli, tokotaha heka pasikala moʻunga
🚵🏿 => 🚵🏿, kili ʻuliʻuli, tokotaha heka pasikala moʻunga
🚵🏻‍♂ => 🚵🏻‍♂, kili hinehina, tangata heka pasikala moʻunga
🚵🏼‍♂ => 🚵🏼‍♂, kili kelokelo, tangata heka pasikala moʻunga
🚵🏽‍♂ => 🚵🏽‍♂, kili melomelo, tangata heka pasikala moʻunga
🚵🏾‍♂ => 🚵🏾‍♂, kili melomelo-ʻuliʻuli, tangata heka pasikala moʻunga
🚵🏿‍♂ => 🚵🏿‍♂, kili ʻuliʻuli, tangata heka pasikala moʻunga
🚵🏻‍♀ => 🚵🏻‍♀, fefine heka pasikala moʻunga, kili hinehina
🚵🏼‍♀ => 🚵🏼‍♀, fefine heka pasikala moʻunga, kili kelokelo
🚵🏽‍♀ => 🚵🏽‍♀, fefine heka pasikala moʻunga, kili melomelo
🚵🏾‍♀ => 🚵🏾‍♀, fefine heka pasikala moʻunga, kili melomelo-ʻuliʻuli
🚵🏿‍♀ => 🚵🏿‍♀, fefine heka pasikala moʻunga, kili ʻuliʻuli
🤸🏻 => 🤸🏻, kili hinehina, tokotaha tākisi
🤸🏼 => 🤸🏼, kili kelokelo, tokotaha tākisi
🤸🏽 => 🤸🏽, kili melomelo, tokotaha tākisi
🤸🏾 => 🤸🏾, kili melomelo-ʻuliʻuli, tokotaha tākisi
🤸🏿 => 🤸🏿, kili ʻuliʻuli, tokotaha tākisi
🤸🏻‍♂ => 🤸🏻‍♂, kili hinehina, tangata tākisi
🤸🏼‍♂ => 🤸🏼‍♂, kili kelokelo, tangata tākisi
🤸🏽‍♂ => 🤸🏽‍♂, kili melomelo, tangata tākisi
🤸🏾‍♂ => 🤸🏾‍♂, kili melomelo-ʻuliʻuli, tangata tākisi
🤸🏿‍♂ => 🤸🏿‍♂, kili ʻuliʻuli, tangata tākisi
🤸🏻‍♀ => 🤸🏻‍♀, fefine tākisi, kili hinehina
🤸🏼‍♀ => 🤸🏼‍♀, fefine tākisi, kili kelokelo
🤸🏽‍♀ => 🤸🏽‍♀, fefine tākisi, kili melomelo
🤸🏾‍♀ => 🤸🏾‍♀, fefine tākisi, kili melomelo-ʻuliʻuli
🤸🏿‍♀ => 🤸🏿‍♀, fefine tākisi, kili ʻuliʻuli
🤽🏻 => 🤽🏻, kili hinehina, tokotaha polovai
🤽🏼 => 🤽🏼, kili kelokelo, tokotaha polovai
🤽🏽 => 🤽🏽, kili melomelo, tokotaha polovai
🤽🏾 => 🤽🏾, kili melomelo-ʻuliʻuli, tokotaha polovai
🤽🏿 => 🤽🏿, kili ʻuliʻuli, tokotaha polovai
🤽🏻‍♂ => 🤽🏻‍♂, kili hinehina, tangata polovai
🤽🏼‍♂ => 🤽🏼‍♂, kili kelokelo, tangata polovai
🤽🏽‍♂ => 🤽🏽‍♂, kili melomelo, tangata polovai
🤽🏾‍♂ => 🤽🏾‍♂, kili melomelo-ʻuliʻuli, tangata polovai
🤽🏿‍♂ => 🤽🏿‍♂, kili ʻuliʻuli, tangata polovai
🤽🏻‍♀ => 🤽🏻‍♀, fefine polovai, kili hinehina
🤽🏼‍♀ => 🤽🏼‍♀, fefine polovai, kili kelokelo
🤽🏽‍♀ => 🤽🏽‍♀, fefine polovai, kili melomelo
🤽🏾‍♀ => 🤽🏾‍♀, fefine polovai, kili melomelo-ʻuliʻuli
🤽🏿‍♀ => 🤽🏿‍♀, fefine polovai, kili ʻuliʻuli
🤾🏻 => 🤾🏻, kili hinehina, tokotaha netipolo
🤾🏼 => 🤾🏼, kili kelokelo, tokotaha netipolo
🤾🏽 => 🤾🏽, kili melomelo, tokotaha netipolo
🤾🏾 => 🤾🏾, kili melomelo-ʻuliʻuli, tokotaha netipolo
🤾🏿 => 🤾🏿, kili ʻuliʻuli, tokotaha netipolo
🤾🏻‍♂ => 🤾🏻‍♂, kili hinehina, tangata netipolo
🤾🏼‍♂ => 🤾🏼‍♂, kili kelokelo, tangata netipolo
🤾🏽‍♂ => 🤾🏽‍♂, kili melomelo, tangata netipolo
🤾🏾‍♂ => 🤾🏾‍♂, kili melomelo-ʻuliʻuli, tangata netipolo
🤾🏿‍♂ => 🤾🏿‍♂, kili ʻuliʻuli, tangata netipolo
🤾🏻‍♀ => 🤾🏻‍♀, fefine netipolo, kili hinehina
🤾🏼‍♀ => 🤾🏼‍♀, fefine netipolo, kili kelokelo
🤾🏽‍♀ => 🤾🏽‍♀, fefine netipolo, kili melomelo
🤾🏾‍♀ => 🤾🏾‍♀, fefine netipolo, kili melomelo-ʻuliʻuli
🤾🏿‍♀ => 🤾🏿‍♀, fefine netipolo, kili ʻuliʻuli
🤹🏻 => 🤹🏻, kili hinehina, tokotaha hiko
🤹🏼 => 🤹🏼, kili kelokelo, tokotaha hiko
🤹🏽 => 🤹🏽, kili melomelo, tokotaha hiko
🤹🏾 => 🤹🏾, kili melomelo-ʻuliʻuli, tokotaha hiko
🤹🏿 => 🤹🏿, kili ʻuliʻuli, tokotaha hiko
🤹🏻‍♂ => 🤹🏻‍♂, kili hinehina, tangata hiko
🤹🏼‍♂ => 🤹🏼‍♂, kili kelokelo, tangata hiko
🤹🏽‍♂ => 🤹🏽‍♂, kili melomelo, tangata hiko
🤹🏾‍♂ => 🤹🏾‍♂, kili melomelo-ʻuliʻuli, tangata hiko
🤹🏿‍♂ => 🤹🏿‍♂, kili ʻuliʻuli, tangata hiko
🤹🏻‍♀ => 🤹🏻‍♀, fefine hiko, kili hinehina
🤹🏼‍♀ => 🤹🏼‍♀, fefine hiko, kili kelokelo
🤹🏽‍♀ => 🤹🏽‍♀, fefine hiko, kili melomelo
🤹🏾‍♀ => 🤹🏾‍♀, fefine hiko, kili melomelo-ʻuliʻuli
🤹🏿‍♀ => 🤹🏿‍♀, fefine hiko, kili ʻuliʻuli
🧘🏻 => 🧘🏻, kili hinehina, tokotaha tangutu fehauaki
🧘🏼 => 🧘🏼, kili kelokelo, tokotaha tangutu fehauaki
🧘🏽 => 🧘🏽, kili melomelo, tokotaha tangutu fehauaki
🧘🏾 => 🧘🏾, kili melomelo-ʻuliʻuli, tokotaha tangutu fehauaki
🧘🏿 => 🧘🏿, kili ʻuliʻuli, tokotaha tangutu fehauaki
🧘🏻‍♂ => 🧘🏻‍♂, kili hinehina, tangata tangutu fehauaki
🧘🏼‍♂ => 🧘🏼‍♂, kili kelokelo, tangata tangutu fehauaki
🧘🏽‍♂ => 🧘🏽‍♂, kili melomelo, tangata tangutu fehauaki
🧘🏾‍♂ => 🧘🏾‍♂, kili melomelo-ʻuliʻuli, tangata tangutu fehauaki
🧘🏿‍♂ => 🧘🏿‍♂, kili ʻuliʻuli, tangata tangutu fehauaki
🧘🏻‍♀ => 🧘🏻‍♀, fefine tangutu fehauaki, kili hinehina
🧘🏼‍♀ => 🧘🏼‍♀, fefine tangutu fehauaki, kili kelokelo
🧘🏽‍♀ => 🧘🏽‍♀, fefine tangutu fehauaki, kili melomelo
🧘🏾‍♀ => 🧘🏾‍♀, fefine tangutu fehauaki, kili melomelo-ʻuliʻuli
🧘🏿‍♀ => 🧘🏿‍♀, fefine tangutu fehauaki, kili ʻuliʻuli
🛀🏻 => 🛀🏻, kili hinehina, tokotaha kaukau
🛀🏼 => 🛀🏼, kili kelokelo, tokotaha kaukau
🛀🏽 => 🛀🏽, kili melomelo, tokotaha kaukau
🛀🏾 => 🛀🏾, kili melomelo-ʻuliʻuli, tokotaha kaukau
🛀🏿 => 🛀🏿, kili ʻuliʻuli, tokotaha kaukau
🛌🏻 => 🛌🏻, kili hinehina, tokotaha ʻi mohenga
🛌🏼 => 🛌🏼, kili kelokelo, tokotaha ʻi mohenga
🛌🏽 => 🛌🏽, kili melomelo, tokotaha ʻi mohenga
🛌🏾 => 🛌🏾, kili melomelo-ʻuliʻuli, tokotaha ʻi mohenga
🛌🏿 => 🛌🏿, kili ʻuliʻuli, tokotaha ʻi mohenga
🧑🏻‍🤝‍🧑🏻 => 🧑🏻‍🤝‍🧑🏻, kakai fetakinima, kili hinehina
🧑🏻‍🤝‍🧑🏼 => 🧑🏻‍🤝‍🧑🏼, kakai fetakinima, kili hinehina, kili kelokelo
🧑🏻‍🤝‍🧑🏽 => 🧑🏻‍🤝‍🧑🏽, kakai fetakinima, kili hinehina, kili melomelo
🧑🏻‍🤝‍🧑🏾 => 🧑🏻‍🤝‍🧑🏾, kakai fetakinima, kili hinehina, kili melomelo-ʻuliʻuli
🧑🏻‍🤝‍🧑🏿 => 🧑🏻‍🤝‍🧑🏿, kakai fetakinima, kili hinehina, kili ʻuliʻuli
🧑🏼‍🤝‍🧑🏻 => 🧑🏼‍🤝‍🧑🏻, kakai fetakinima, kili hinehina, kili kelokelo
